Version:,1,,Date:,9/3/2015
Measure,Time,MSPerQuarter,MSPerMeasure,Frames
275,1.5,480,720,197280
276,1.5,480,720,198000
277,1.5,480,720,198720
278,1.5,480,720,199440
279,1.5,480,720,200160
280,1.5,480,720,200880
281,1.5,480,720,201600
282,1.5,480,720,202320
283,1.5,480,720,203040
284,1.5,480,720,203760
285,1.5,480,720,204480
286,1.5,480,720,205200
287,1.5,480,720,205920
288,1.5,480,720,206640
289,1.5,480,720,207360
290,1.5,480,720,208080
291,1.5,480,720,208800
292,1.5,480,720,209520
293,1.5,480,720,210240
294,1.5,480,720,210960
295,1.5,480,720,211680
296,1.5,480,720,212400
297,1.5,480,720,213120
298,1.5,480,720,213840
299,1.5,480,720,214560
300,1.5,480,720,215280
301,1.5,480,720,216000
302,1.5,480,720,216720
303,1.5,480,720,217440
304,1.5,480,720,218160
305,1.5,480,720,218880
306,1.5,480,720,219600
307,1.5,480,720,220320
308,1.5,480,720,221040
309,1.5,480,720,221760
310,1.5,480,720,222480
311,1.5,480,720,223200
312,1.5,480,720,223920
313,1.5,480,720,224640
314,1.5,480,720,225360
315,1.5,480,720,226080
316,1.5,480,720,226800
317,1.5,480,720,227520
318,1.5,480,720,228240
319,1.5,480,720,228960
320,1.5,480,720,229680
321,1.5,480,720,230400
322,1.5,480,720,231120
323,1.5,480,720,231840
324,1.5,480,720,232560
325,1.5,480,720,233280
326,1.5,480,720,234000
327,1.5,480,720,234720
328,1.5,480,720,235440
329,1.5,480,720,236160
330,1.5,480,720,236880
331,1.5,480,720,237600
332,1.5,480,720,238320
333,1.5,480,720,239040
334,1.5,480,720,239760
335,1.5,480,720,240480
336,1.5,480,720,241200
337,1.5,480,720,241920
338,1.5,480,720,242640
339,1.5,480,720,243360
340,1.5,480,720,244080
341,1.5,480,720,244800
342,1.5,480,720,245520
343,1.5,480,720,246240
344,1.5,480,720,246960
345,1.5,480,720,247680
346,1.5,480,720,248400
347,1.5,480,720,249120
348,1.5,480,720,249840
349,1.5,480,720,250560
350,1.5,480,720,251280
351,1.5,480,720,252000
352,1.5,480,720,252720
353,1.5,480,720,253440
354,1.5,480,720,254160
355,1.5,480,720,254880
356,1.5,480,720,255600
357,1.5,480,720,256320
358,1.5,480,720,257040
359,1.5,480,720,257760
360,1.5,480,720,258480
361,1.5,480,720,259200
362,1.5,480,720,259920
363,1.5,480,720,260640
364,1.5,480,720,261360
365,1.5,480,720,262080
366,1.5,480,720,262800
367,1.5,480,720,263520
368,1.5,480,720,264240
369,1.5,480,720,264960
370,1.5,480,720,265680
371,1.5,480,720,266400
372,1.5,480,720,267120
373,1.5,480,720,267840
374,1.5,480,720,268560
375,1.5,480,720,269280
376,1.5,480,720,270000
